DQN game 1, Run time: 0.14 seconds, Score: 0, Best: 0, Epsilon: 1.0000
DQN game 2, Run time: 0.07 seconds, Score: 0, Best: 0, Epsilon: 0.9995
DQN game 3, Run time: 0.05 seconds, Score: 0, Best: 0, Epsilon: 0.9990
DQN game 4, Run time: 0.10 seconds, Score: 0, Best: 0, Epsilon: 0.9985
DQN game 5, Run time: 0.08 seconds, Score: 0, Best: 0, Epsilon: 0.9980
DQN game 6, Run time: 0.07 seconds, Score: 0, Best: 0, Epsilon: 0.9975
DQN game 7, Run time: 0.28 seconds, Score: 0, Best: 0, Epsilon: 0.9970
DQN game 8, Run time: 0.17 seconds, Score: 0, Best: 0, Epsilon: 0.9965
DQN game 9, Run time: 0.10 seconds, Score: 0, Best: 0, Epsilon: 0.9960
DQN game 10, Run time: 0.32 seconds, Score: 0, Best: 0, Epsilon: 0.9955
DQN game 11, Run time: 0.16 seconds, Score: 0, Best: 0, Epsilon: 0.9950
DQN game 12, Run time: 0.33 seconds, Score: 0, Best: 0, Epsilon: 0.9945
DQN game 13, Run time: 0.27 seconds, Score: 0, Best: 0, Epsilon: 0.9940
DQN game 14, Run time: 0.24 seconds, Score: 0, Best: 0, Epsilon: 0.9935
DQN game 15, Run time: 0.14 seconds, Score: 1, Best: 0, Epsilon: 0.9930
DQN game 16, Run time: 0.12 seconds, Score: 0, Best: 1, Epsilon: 0.9925
DQN game 17, Run time: 0.71 seconds, Score: 0, Best: 1, Epsilon: 0.9920
DQN game 18, Run time: 0.34 seconds, Score: 0, Best: 1, Epsilon: 0.9915
DQN game 19, Run time: 0.27 seconds, Score: 0, Best: 1, Epsilon: 0.9910
DQN game 20, Run time: 0.21 seconds, Score: 0, Best: 1, Epsilon: 0.9905
DQN game 21, Run time: 0.12 seconds, Score: 0, Best: 1, Epsilon: 0.9900
DQN game 22, Run time: 0.16 seconds, Score: 0, Best: 1, Epsilon: 0.9896
DQN game 23, Run time: 0.25 seconds, Score: 0, Best: 1, Epsilon: 0.9891
DQN game 24, Run time: 0.29 seconds, Score: 0, Best: 1, Epsilon: 0.9886
